(Thousands of Dollars),United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Education,"664,418,485","10,936,141","2,787,912","12,502,920","8,440,012","94,666,744","11,463,040","8,246,895","3,072,776","26,379,172","18,229,558","3,386,370","2,956,397","17,289,093","15,594,634","7,188,144","7,180,776","10,210,961","9,398,629","2,183,546","12,606,899","13,613,337","25,199,445","15,051,078","6,400,333","9,655,683","1,869,485","3,930,830","4,816,641","1,458,587","18,082,624","5,925,628","45,708,630","20,385,572","2,440,574","22,608,547","8,311,308","8,887,758","25,031,219","2,105,486","9,548,803","1,480,621","10,171,383","53,611,060","8,255,511","2,703,296","15,930,943","18,340,626","4,285,234","11,830,291","2,057,333"
Public welfare,"638,961,550","7,203,252","2,372,655","14,284,731","6,979,738","107,043,559","8,690,488","7,726,922","2,454,630","25,597,070","12,005,228","2,760,118","2,429,315","21,878,017","12,709,202","6,500,571","4,150,491","11,265,798","8,805,375","3,342,542","11,933,432","20,186,031","18,707,348","14,873,839","6,633,077","8,666,452","1,697,056","2,638,151","4,034,671","2,389,176","18,456,912","5,631,240","63,586,859","12,938,720","1,570,813","25,748,236","6,572,413","10,390,910","27,934,410","2,701,788","7,429,108","1,046,368","12,327,422","37,548,331","3,405,959","1,769,967","11,248,106","12,654,033","4,452,440","10,763,551","825,029"
Hospitals,"80,924,379","2,636,578","28,295","53,321","1,021,700","10,968,673","914,125","1,416,094","45,578","957,317","1,290,511","627,076","47,715","1,525,969","154,233","1,784,719","2,018,521","1,865,675","461,054","78,844","551,398","550,799","3,789,047","303,151","1,469,107","1,991,846","70,494","178,769","247,890","54,828","2,259,610","1,152,604","5,282,713","2,132,768","27,073","3,839,481","208,434","2,416,126","4,991,927","67,065","1,803,684","23,145","405,191","7,649,451","1,699,785","20,483","4,789,221","2,724,044","167,187","2,156,464","4,596"
Health,"63,693,717","517,728","251,371","2,640,044","296,508","9,053,782","611,792","1,085,064","456,558","3,612,735","1,451,470","515,683","152,781","1,803,293","568,635","264,957","201,034","481,814","492,242","221,889","2,284,125","1,881,864","1,591,379","529,725","422,536","1,838,161","221,589","552,677","244,929","152,301","1,385,587","485,089","8,506,029","1,204,000","271,762","2,422,922","991,281","626,975","3,229,043","182,258","1,147,908","191,043","669,897","2,783,419","388,627","387,363","1,452,591","1,961,839","288,367","453,906","265,145"
Highways,"124,525,396","1,653,128","1,290,503","2,194,035","1,443,384","10,923,189","1,863,019","1,413,880","603,206","8,007,319","2,772,343","456,996","682,385","6,745,686","2,543,104","2,178,645","1,336,182","2,414,369","1,612,860","715,805","2,556,540","3,005,878","2,743,085","3,195,546","1,336,544","1,375,206","645,768","905,694","717,606","477,474","3,310,280","715,713","5,270,887","3,883,907","1,316,191","4,076,963","2,144,220","1,170,688","8,685,049","315,809","1,664,188","726,472","1,552,187","9,522,307","835,995","454,280","4,900,426","2,797,191","1,162,910","1,706,656","503,698"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police protection,"16,479,609","170,514","140,154","247,231","119,889","1,920,894","239,388","241,020","132,830","566,008","436,293","38,801","64,370","396,860","234,088","102,930","100,614","248,732","330,826","96,243","615,231","905,695","487,890","446,435","138,506","230,785","38,763","94,821","84,059","62,254","706,311","157,414","982,307","725,037","27,376","363,131","232,745","201,686","1,045,151","81,380","184,010","46,310","260,921","1,038,324","151,844","88,203","577,499","397,980","84,441","147,775","47,640"
Correction,"51,835,963","541,525","332,443","1,073,370","429,314","9,528,475","1,041,204","693,520","308,341","2,308,698","1,230,802","266,716","266,744","1,056,155","731,005","294,576","355,523","631,655","661,918","166,878","1,476,235","1,121,625","1,900,994","620,117","336,391","814,328","212,206","362,811","283,158","122,052","1,392,916","477,630","3,388,695","1,256,922","100,955","1,758,395","571,005","854,026","2,101,822","201,516","502,322","126,395","954,903","4,093,657","342,621","139,482","1,806,022","1,040,326","301,038","1,111,132","145,404"
Natural resources,"24,071,822","250,813","479,705","271,519","304,251","6,898,403","354,229","233,360","96,033","1,078,512","449,981","176,518","233,584","170,577","331,976","281,477","221,961","403,143","762,537","198,999","510,887","385,287","335,415","654,864","235,035","305,337","218,932","199,559","97,432","65,956","445,887","208,286","420,222","509,359","106,656","423,641","138,757","591,882","660,210","53,335","209,016","166,869","331,615","934,877","189,265","100,842","262,343","971,511","260,324","523,281","357,362"
Parks and recreation,"6,516,984","18,359","15,045","80,650","71,110","632,840","105,729","68,926","55,288","147,043","226,249","71,879","35,297","261,054","91,639","33,352","39,714","126,847","340,558","8,239","122,170","263,787","142,474","296,279","46,045","82,539","17,387","51,746","18,490","24,943","230,638","58,748","738,523","201,158","36,493","205,331","86,044","78,886","342,281","45,791","135,457","42,006","99,007","243,623","47,016","19,420","126,753","148,780","52,408","58,878","24,065"
Governmental administration,"57,615,422","575,510","701,168","777,015","658,278","8,043,094","955,647","1,518,277","519,097","2,445,200","919,534","563,903","389,364","1,298,447","731,025","578,370","438,922","1,145,869","988,799","431,579","1,509,345","1,877,709","1,036,361","1,139,234","388,402","557,284","423,532","233,511","307,430","275,287","1,760,490","605,342","5,522,322","1,626,791","211,557","2,066,464","714,577","1,461,190","2,772,823","389,303","566,480","211,150","865,952","2,238,670","615,522","168,116","1,560,825","1,239,726","493,238","757,444","340,247"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest on general debt,"44,623,911","338,355","181,709","637,325","130,905","6,993,920","847,767","1,492,118","198,061","994,814","634,872","120,750","154,770","3,235,590","978,943","206,491","174,113","653,834","879,812","182,648","1,146,990","2,885,213","1,666,990","591,658","262,717","769,557","111,002","59,894","127,114","328,956","2,178,788","298,232","4,069,002","578,245","78,608","1,282,153","345,179","461,496","1,506,071","439,149","369,191","111,568","266,131","1,515,845","240,062","102,703","1,105,114","1,439,738","285,678","928,802","35,268"
Other and unallocable,"132,198,625","1,042,588","2,216,288","2,711,484","1,050,534","10,574,299","1,699,747","2,509,723","619,462","6,675,596","1,381,338","1,821,851","598,880","7,789,536","1,671,893","1,246,053","554,611","1,270,706","2,021,407","681,919","3,112,369","6,971,176","3,915,895","3,068,326","1,514,369","1,585,192","513,372","992,977","1,620,856","901,326","5,724,053","2,004,893","16,050,946","1,857,667","1,128,408","3,889,697","707,592","1,003,631","4,009,947","548,494","3,055,663","360,939","1,811,981","6,501,043","1,067,490","335,387","3,589,125","1,968,103","952,979","2,426,476","870,338"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility expenditure,"27,246,160",75,"232,749","29,618",,"1,352,794","13,303","758,915","136,988","261,919","85,871",0,,0,374,0,,"25,738","9,310","23,564","989,764","3,255,927",0,"471,240",0,0,"18,201",0,"50,519","6,780","2,991,566",0,"13,116,805","181,463","90,263",,"903,137","31,805","1,602","163,065","1,567,508",,"1,429","10,073",0,"1,159","119,165","238,521","11,832","40,470","52,648"
Liquor stores expenditure,"6,447,126","321,268",,,,,,,,,,,"120,067",,,"200,372",,"5,710",,0,,,"824,929",,"279,212",,"81,539",,,"528,628",,,,,,"813,929",,"368,774","1,817,619",,,,,,"257,660","59,662","593,629",0,"75,983",,"98,145"
Insurance trust expenditure,"285,400,474","3,541,484","1,329,941","4,266,980","1,936,105","49,297,544","5,483,219","4,514,111","678,409","8,892,649","6,372,959","1,385,193","1,113,302","14,375,834","2,881,905","2,520,429","1,892,459","4,396,382","4,480,757","997,403","4,344,038","6,665,039","7,769,172","5,353,191","2,645,918","4,537,344","944,515","740,452","2,578,586","762,071","13,139,220","2,309,050","21,598,629","5,916,490","747,049","17,200,064","2,819,735","5,392,924","12,163,270","1,272,050","3,423,167","538,569","2,618,534","17,890,912","1,787,517","378,098","4,870,598","6,987,148","1,497,137","5,325,699","827,223"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt at end of fiscal year,"1,160,488,556","8,667,105","5,953,933","14,400,191","4,828,756","151,307,658","16,686,588","37,024,731","5,045,161","33,469,117","13,130,551","9,216,583","3,542,856","65,791,900","22,470,543","5,956,424","9,537,833","14,453,423","17,913,229","4,845,408","27,871,287","76,861,071","33,744,508","16,213,046","7,283,371","19,103,212","3,052,423","1,950,506","3,222,367","7,869,122","66,721,791","6,951,535","137,479,990","16,919,235","2,355,700","33,164,507","8,702,914","13,355,878","47,099,314","9,052,017","16,228,097","3,366,459","6,075,745","49,357,183","7,013,698","2,492,083","28,628,254","33,059,765","7,223,531","23,052,389","775,568"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
